age_A,age_B,height_A,height_B,reach_A,reach_B,is_orthodox_A,is_orthodox_B,is_southpaw_A,is_southpaw_B,weight_A,weight_B,won_A,won_B,lost_A,lost_B,drawn_A,drawn_B,kos_A,kos_B,result_A,result_B,result_T
35,27,179,175,178,179,1,1,0,0,160,160,37,49,0,1,0,1,33,34,0,0,1
26,31,175,185,179,185,1,1,0,0,164,164,48,50,1,2,1,1,34,32,1,0,0
25,29,175,174,179,180,1,1,0,0,155,155,46,31,1,3,1,0,32,19,1,0,0
23,31,175,175,179,188,1,1,0,0,155,155,43,19,1,1,1,2,31,12,1,0,0
22,28,175,177,179,175,1,1,0,0,154,153,40,30,0,4,1,0,29,18,1,0,0
21,40,175,174,179,180,1,1,0,0,154,154,39,46,0,7,1,1,29,39,1,0,0
21,32,175,180,179,188,1,1,0,0,154,154,38,33,0,4,1,1,28,28,1,0,0
19,32,175,167,179,173,1,1,0,0,150,149,31,31,0,1,1,1,23,23,1,0,0
18,26,175,180,179,188,1,1,0,0,147,147,25,23,0,2,1,0,18,21,1,0,0
18,28,175,173,179,183,1,1,0,0,147,147,22,16,0,1,1,0,15,15,1,0,0
29,34,173,179,178,181,1,1,0,0,140,139,31,22,0,0,0,0,22,11,1,0,0
29,33,173,179,178,180,1,1,0,0,139,143,29,29,0,6,0,0,20,23,1,0,0
28,33,173,169,178,183,1,1,0,0,140,140,26,29,0,1,0,0,18,20,1,0,0
27,33,173,173,178,173,1,1,0,0,135,134,24,29,0,6,0,1,17,17,1,0,0
23,30,173,165,178,168,1,1,0,0,139,139,13,20,0,11,0,0,10,11,1,0,0
22,29,173,170,178,169,1,1,0,0,137,137,8,9,0,14,0,1,5,6,1,0,0
33,28,179,178,178,188,1,1,0,0,159,160,32,19,0,1,0,0,29,6,1,0,0
31,31,179,178,178,180,1,1,0,0,159,159,26,29,0,4,0,0,23,20,1,0,0
30,27,179,182,178,182,1,1,0,0,160,159,24,21,0,5,0,0,21,13,1,0,0
30,27,179,180,178,178,1,1,0,0,159,159,23,28,0,1,0,0,20,21,1,0,0
29,32,179,173,178,180,1,1,0,0,160,158,20,27,0,7,0,1,17,17,1,0,0
29,26,171,160,179,161,1,1,0,0,115,115,26,18,2,3,1,1,12,17,0,1,0
25,22,160,163,161,58,0,0,1,1,115,115,12,9,3,8,1,3,11,3,1,0,0
26,30,198,201,208,207,1,1,0,0,243,255,16,17,0,0,0,0,16,15,1,0,0
29,26,196,198,203,208,0,0,1,1,244,245,23,15,0,0,1,0,21,15,0,1,0
26,27,198,193,208,198,1,1,0,0,245,247,14,16,0,0,0,0,14,13,1,0,0
25,34,198,193,208,191,1,1,0,0,248,236,11,36,0,10,0,1,11,28,1,0,0
25,37,198,188,208,193,1,1,0,0,245,244,10,26,0,19,0,4,10,11,1,0,0
21,36,170,165,180,173,1,1,0,0,132,132,19,40,0,14,0,3,16,24,1,0,0
27,28,171,170,175,177,1,1,0,0,146,147,26,26,0,1,0,1,22,16,1,0,0
26,31,171,175,175,180,1,1,0,0,147,147,24,32,0,2,0,1,21,18,1,0,0
20,25,171,173,175,178,1,1,0,0,152,149,8,26,0,36,0,2,8,6,1,0,0
22,28,165,165,167,177,0,0,1,1,120,119,24,31,0,2,0,0,18,17,1,0,0
22,34,165,170,167,174,0,0,1,1,118,118,23,27,0,0,0,2,17,19,1,0,0
21,24,165,163,167,168,0,0,1,1,118,118,19,29,0,3,0,2,13,22,1,0,0
27,37,175,180,173,178,1,1,0,0,146,146,10,31,0,2,1,0,8,14,1,0,0
29,28,165,171,157,175,1,1,0,0,125,125,23,32,0,1,0,1,14,18,0,1,0
26,26,171,170,175,168,1,1,0,0,121,122,27,17,0,2,1,3,15,6,1,0,0
25,32,171,168,175,173,1,1,0,0,122,122,26,49,0,7,1,2,15,24,1,0,0
24,34,171,166,175,174,1,1,0,0,122,121,23,36,0,4,1,0,13,28,1,0,0
24,36,171,169,175,178,1,1,0,0,117,118,20,46,0,3,1,0,11,23,1,0,0
